2022-06-22 13:32:44,636, DEBUG, PyTest_Handson.test_loggingDemo, I amd debug
2022-06-22 13:32:44,636, INFO, PyTest_Handson.test_loggingDemo, I am info
2022-06-22 13:32:44,636, WARNING, PyTest_Handson.test_loggingDemo, I am warning
2022-06-22 13:32:44,636, ERROR, PyTest_Handson.test_loggingDemo, I am error
2022-06-22 13:32:44,636, CRITICAL, PyTest_Handson.test_loggingDemo, I am critical
2022-06-22 13:34:34,938, WARNING, PyTest_Handson.test_loggingDemo, I am warning
2022-06-22 13:34:34,938, ERROR, PyTest_Handson.test_loggingDemo, I am error
2022-06-22 13:34:34,938, CRITICAL, PyTest_Handson.test_loggingDemo, I am critical
2022-06-22 13:49:24,936, DEBUG, PyTest_Handson.test_loggingDemo, I amd debug
2022-06-22 13:49:24,937, INFO, PyTest_Handson.test_loggingDemo, I am info
2022-06-22 13:49:24,937, WARNING, PyTest_Handson.test_loggingDemo, I am warning
2022-06-22 13:49:24,937, ERROR, PyTest_Handson.test_loggingDemo, I am error
2022-06-22 13:49:24,937, CRITICAL, PyTest_Handson.test_loggingDemo, I am critical
2022-06-23 10:54:19,808, DEBUG, PyTest_Handson.test_loggingDemo, I amd debug
2022-06-23 10:54:19,826, INFO, PyTest_Handson.test_loggingDemo, I am info
2022-06-23 10:54:19,826, WARNING, PyTest_Handson.test_loggingDemo, I am warning
2022-06-23 10:54:19,827, ERROR, PyTest_Handson.test_loggingDemo, I am error
2022-06-23 10:54:19,827, CRITICAL, PyTest_Handson.test_loggingDemo, I am critical
2022-06-23 11:04:43,647, DEBUG, PyTest_Handson.test_loggingDemo, I amd debug
2022-06-23 11:04:43,647, INFO, PyTest_Handson.test_loggingDemo, I am info
2022-06-23 11:04:43,647, WARNING, PyTest_Handson.test_loggingDemo, I am warning
2022-06-23 11:04:43,647, ERROR, PyTest_Handson.test_loggingDemo, I am error
2022-06-23 11:04:43,647, CRITICAL, PyTest_Handson.test_loggingDemo, I am critical
